ID,Subject
211001175,ACCT202+FINC301+MOIT301+OPMG302
211001192,CSCI322+ECE322+ECE335+ECE338+ECEN465
211001245,ECE213+ECE232+ECE233+ECE241+MTH216+MTH217
211001260,BSAD401+FINC305+OPMG303
211001268,ACCT201+MGMT402+OPMG302
211001298,AIS462+AIS477+CSCI482
211001386,ACCT202+FINC301+FINC305+MKTG307+OPMG301
211001387,MKTG302+MKTG405+MKTG417+MOIT301
211001466,AIS323+AIS411+AIS431+AIS462+AIS477+HUMA001/101 (Computer Lab)
211001471,CSCI217+CSCI419+ECE355+INT121+MTH113
211001502,FINC407+OPMG405
211001524,AIS201+AIS421+AIS477+CSCI315
211001615,APBI304+APBI410+CBIO204
211001617,ARUD344+ARUD356/CVL317+ARUD363
211001634,CSCI313+CSCI315+CSCI415+CSCI451
211001653,BSAD401+MKTG303+OPMG304+OPMG401+OPMG406+OPMG420
211001658,CBIO203+CBIO313
211001688,BIO205+BIO206+MICR202
211001695,CSCI305+CSCI311+CSCI313+CSCI417+CSCI419+CSCI461
211001701,CVL315+CVL334+CVL411+CVL432
211001723,CSCI217+CSCI419+ECEN428+SSCI201
211001736,CSCI417
211001743,CSCI451+ECE338+ECEN465
211001755,ARUD478
211001764,CBIO313+CBIO409
211001779,CSCI315+CSCI467+CSCI482+MATH210
211001783,AIS421+MATH301I
211001802,BMD212+BMD404+BMD409+MATH111
211001806,APBI410+CBIO306+MATH204+PHY102
211001813,FINC301+MGMT402+OPMG303+OPMG401
211001824,CSCI305+CSCI315+CSCI417+CSCI419+CSCI461+MATH301
211001826,BSAD401+HUMA102+SSCI102
211001827,ACCT303
211001828,IENG408+SSCI201
211001830,MENG422+MENG442+MENG446+MNG386+MNG484
211001842,ACCT301+FINC302+FINC406+FINC408
211001853,FINC301+MOIT301+OPMG303
211001855,FINC305+MOIT301
211001864,AIS201+CSCI461+ECEN101C+MATH112I
211001871,ARUD478
211001872,ACCT202+FINC301+HUMA102+MGMT402+MOIT301+OPMG303
211001883,ACCT301+FINC307+FINC406+FINC407+FINC408
211001886,APBI410+CBIO306+MATH103B+PHY102
211001892,AIS201+AIS421+AIS431+AIS462+AIS477
211001905,OPMG303+OPMG401
211001917,CSCI205+CSCI207+MATH111+PHYS101C
211001922,CSCI415+CSCI419+CSCI465+CSCI467
211001928,MGMT402+NSCI103+OPMG301
211001932,ACCT202+FINC301+HUMA001/101 (Room)+OPMG303
211001937,CSCI415+CSCI417+HUMA001/101 (Computer Lab)
211001941,CSCI315+CSCI467+CSCI482+MATH203
211001942,CVL211+CVL432+CVL451+MTH112
211001945,APBI304+APBI410+MICR202+PHY102
211001949,HUMA001/101 (Computer Lab)+MNG363+SSCI201
211001963,IND325+MENG327+MNG321+MNG363+MNG372
211001973,BMD404+BMD407+BMD409+CSCI461
211001974,BIO205+BIO206+CHM102+MICR202
211001998,MOIT301+OPMG401+SSCI102
211002004,CSCI465+CSCI467+ECEN101C+SSCI201
211002009,MGMT303
211002025,CSCI315+CSCI415+CSCI465+CSCI467+HUMA001/101 (Room)
211002026,CSCI465+CSCI467
211002031,APBI410+CBIO204+CBIO305+CHM102+MICR202
211002032,CBIO204+MATH103B+PHY102
211002037,CSCI212/CSCI221+ECEN101C+MATH201
211002044,ACCT303
211002055,NSCI102
211002057,IENG324+IENG345+IND242+IND323+IND333
211002063,MOIT301+OPMG304+OPMG406+OPMG420
211002065,MATH103B+MATH204+PHY102
211002067,CSCI305+CSCI315+CSCI465+CSCI482+SSCI102
211002068,CBIO204+PHY102
211002071,APBI101+CBIO204+MATH204+PHY102
211002082,CSCI315+CSCI417+NSCI102
211002101,BIO205+CBIO305+CBIO409+MATH103B
211002116,ECON201
211002128,ARUD478
211002132,AIS323+AIS431+CSCI315+CSCI465
211002159,MKTG417+MKTG470
211002166,CSCI305+CSCI311+CSCI313+CSCI419+MATH201
211002173,MGMT402+NSCI103
211002189,MGMT402+OPMG401+SSCI102
211002194,AIS323+AIS462+SSCI201
211002233,IENG315+IENG324+IENG345+IENG408
211002250,ACCT202+FINC301+MOIT301
212002283,CSCI208+CSCI217+CSCI322+ECEN449+HUMA102
212002313,MKTG305+OPMG420
212002324,MKTG302+MKTG303+MKTG304+MKTG307+MKTG470
212002332,HUMA001/101 (Computer Lab)+HUMA102+MKTG303+MKTG417+OPMG301
212002333,CSCI315+CSCI465+CSCI482+MATH301
212002399,CSCI217+CSCI417+CSCI419+HUMA001/101 (Computer Lab)+MATH201+MATH301
212002404,MATH301
212002407,AIS323
212002431,CSCI417+CSCI455+SSCI102
212002434,AIS411+CSCI467
212002435,CVL315+CVL441+CVL451+IND252
212002445,CSCI315+CSCI465+CSCI467
221000001,AIS431+AIS462+AIS477+SSCI201
221000002,AIS421+AIS462
221000003,CSCI482+MATH301
221000005,ECE252+ECE338+ECE345+ECE346
221000008,CSCI482+MATH301
221000010,CSCI205+CSCI467+CSCI482+ECEN101C+MATH301
221000011,ECE322+ECE338+ECE345+ECE346+MTH217
221000012,MENG327+MENG422+MNG321+MNG363+SSCI201
221000014,APBI410+CBIO313+CBIO409+MICR405+SSCI102
221000015,CSCI467+CSCI482
221000016,IND212+IND325+MTH214
221000018,FINC307+FINC408
221000019,AIS302+AIS323+AIS411+CSCI315+CSCI467
221000020,AIS411
221000024,AIS421+AIS431+AIS477+CSCI465+MATH203I
221000029,BSAD420+MKTG302+MKTG303+MKTG307+MOIT301+NSCI102
221000033,ECE121+PHY111/PHYS001
221000037,IND325+MENG327+MNG321+MNG363+MNG372
221000043,AIS431+MATH203I
221000052,APBI410+CBIO409+MATH103B+MICR405
221000054,ACCT303+OPMG401
221000056,CSCI465+CSCI467+SSCI102
221000061,ARUD344+ARUD356/CVL317+ARUD363
221000062,AIS421+AIS431+CSCI465+CSCI482
221000064,APBI410+CBIO306+CBIO409+MATH103B+MICR405
221000067,MENG422+MNG321+MNG363+SSCI201
221000068,CSCI467+CSCI482
221000071,MENG327+MENG422+MNG321+MNG363
221000072,AIS421+AIS431+AIS477+SSCI201
221000074,IENG315+IENG324+IENG345+IENG408+IND323
221000082,ECE213+ECE345+ECE471+ECEN428
221000083,ECE231+ECE232+ECE314+ECE322
221000084,ARC222+ARC251+ARC262+CVL213
221000086,AIS421+AIS431+AIS477+MATH203I+SSCI201
221000089,CSCI467+NSCI102+SSCI102
221000090,AIS411+CSCI467+SSCI201
221000091,ACCT303+OPMG420
221000093,CSCI467+CSCI482
221000096,ARUD344+ARUD356/CVL317+ARUD363+HUMA001/101 (Computer Lab)
221000101,CSCI465+CSCI467+MATH210+NSCI102+SSCI102
221000117,AIS421+AIS431+AIS462+AIS477+SSCI201
221000122,OPMG405
221000123,AIS421+AIS431+AIS477+SSCI201
221000124,MKTG304+MKTG405+MKTG417+MKTG470
221000126,MKTG302+MKTG401+MKTG405+MKTG417
221000127,MENG327+MENG422+MNG321+MNG363+SSCI201
221000131,ACCT301+FINC307+FINC406
221000132,OPMG304+OPMG401+OPMG406+OPMG420
221000134,CSCI465+ECE471+ECEN428+ECEN438+SSCI201
221000139,ACCT303+OPMG401+SSCI102
221000142,AIS421+AIS431+CSCI465
221000145,ARUD344+ARUD356/CVL317+ARUD363
221000147,AIS421+AIS431+CSCI465+MATH203I+SSCI201
221000152,CSCI305+CSCI315+CSCI417+CSCI461
221000156,IENG345+IND242+IND252+IND324+IND333
221000158,ECE151+MTH112+MTH113+MTH214
221000161,CSCI217+CSCI465+ECE471+ECEN428+ECEN438
221000165,CBIO305+CBIO306+CBIO312+CBIO313+CBIO314
221000166,AIS302+AIS323+AIS421+AIS431+CSCI212/CSCI221+CSCI315
221000173,FINC301+MKTG302+MKTG303+MKTG304+MKTG307+MKTG401+OPMG301
221000181,ACCT303+MOIT301+OPMG401
221000189,CSCI465+CSCI467
221000191,AIS411+ECE233+ECEN438+MTH217
221000192,ARUD344+ARUD356/CVL317+ARUD363
221000198,APBI410+CBIO314+CBIO409
221000200,MGMT402+NSCI103+OPMG420
221000201,ACCT303+OPMG401+OPMG406+OPMG420+SSCI102
221000202,APBI306+CBIO306+MATH204+MICR405
221000203,ARUD344+ARUD356/CVL317+ARUD363
221000204,CSCI322+CSCI465+ECE471+ECEN428+ECEN438
221000205,CSCI465+ECE471+ECEN428+ECEN438+SSCI201
221000209,IENG324+IENG408+IENG421+IND324+IND356
221000212,CSCI415+CSCI467+CSCI482+MATH210+NSCI102
221000214,AIS411+BSAD401+CSCI482+FINC301
